id,year,date,draft_res_num,record,url_for_res,url_for_record,num_pms,canonical_topic,full_resolution_name,description,historical_context,china_veto,russia_veto,france_veto,us_veto,uk_veto,last_update,total_vetoes,enhanced_description,enhanced_historical_context,primary_countries,primary_regions,conflict_type,geographic_tags,topic_tags,processing_timestamp
37,2016,2016-12-05,S/2016/1026,7825,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2016/1026,https://undocs.org/en/S/PV.7825,2,Middle East (Syria),The situation in the Middle East,The situation in the Middle East,,1,1,0,0,0,2025-09-24,2,"The resolution S/2016/1026 addressed the ongoing conflict in Syria, highlighting the severe humanitarian crisis resulting from the civil war that had escalated since 2011. It underscored the urgent need for a political solution to the conflict, emphasizing the importance of ceasefires and the protection of civilians amidst widespread violence and the involvement of various international actors in the region.","In 2016, the Syrian civil war was in its fifth year, characterized by a complex web of local and international actors, including the Syrian government, various rebel groups, and foreign powers like Russia and the United States. The conflict had led to massive displacement, with millions of Syrians fleeing to neighboring countries and Europe, while the humanitarian situation was deteriorating rapidly, prompting increased calls for international intervention and resolution efforts.","[""Syria"", ""Russia"", ""United States"", ""Turkey"", ""Iran""]","[""Middle East"", ""Europe""]",civil_war,"[[""Asia"", ""Western Asia"", ""SY""]]","[[""HUMANITARIAN AID AND RELIEF"", ""PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS"", ""DISPLACED PERSONS""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""CIVIL WAR""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CEASEFIRES""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""SYRIA SITUATION""]]",2025-09-27T14:38:26.200415
38,2016,2016-10-08,S/2016/846,7785,https://www.un.org/en/ga/search/view_doc.asp?symbol=S/2016/846,https://undocs.org/S/PV.7785,1,Middle East (Syria),The situation in the Middle East,The situation in the Middle East,,0,1,0,0,0,2025-09-24,1,"The resolution S/2016/846 addressed the ongoing humanitarian crisis in Syria amid the civil war that had escalated since 2011. It focused on the urgent need for a ceasefire and the provision of humanitarian aid to millions of displaced individuals and those trapped in conflict zones, highlighting the severe impact of military operations on civilian populations.","In 2016, the Syrian civil war was marked by intense fighting, particularly in Aleppo, where government forces, backed by Russian airstrikes, were engaged in a brutal campaign against rebel-held areas. The conflict had drawn in various international actors, exacerbating geopolitical tensions, particularly between Western nations and Russia, as they supported opposing sides in the war.","[""Syria"", ""Russia"", ""United States"", ""Turkey"", ""Iran""]","[""Middle East"", ""North Africa""]",civil_war,"[[""Asia"", ""Western Asia"", ""SY""], [""Europe"", ""Eastern Europe"", ""RU""], [""Americas"", ""Northern America"", ""US""], [""Asia"", ""Western Asia"", ""TR""], [""Asia"", ""Western Asia"", ""IR""]]","[[""HUMANITARIAN AID AND RELIEF"", ""PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS"", ""DISPLACED PERSONS""], [""HUMANITARIAN AID AND RELIEF"", ""SPECIAL HUMANITARIAN OPERATIONS"", ""HUMANITARIAN ASSISTANCE""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CEASEFIRES""], [""POLITICAL AND LEGAL QUESTIONS"", ""DISARMAMENT AND MILITARY QUESTIONS"", ""ARMED CONFLICTS""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""CIVIL WAR""]]",2025-09-27T14:38:49.726117
39,2015,2015-07-29,S/2015/562,7498,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2015/562 ,https://undocs.org/en/S/PV.7498,1,2014 Letter from Ukraine (Ukraine),Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136),Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136),,0,1,0,0,0,2025-09-24,1,"The resolution S/2015/562 addressed the escalating tensions between Ukraine and Russia following the annexation of Crimea by Russia in March 2014. It sought to reaffirm Ukraine's sovereignty and territorial integrity while condemning the actions of Russia that were perceived as aggressive and destabilizing in the region, particularly in the context of the ongoing conflict in Eastern Ukraine, where pro-Russian separatists were engaged in armed conflict against Ukrainian forces.","In 2015, the geopolitical landscape was heavily influenced by the aftermath of the 2014 Ukrainian revolution, which led to the ousting of President Yanukovych and subsequent Russian intervention in Crimea. The conflict had sparked a broader confrontation between Russia and Western nations, with sanctions imposed on Russia and increased military support for Ukraine from NATO countries, creating a highly volatile environment in Eastern Europe.","[""Ukraine"", ""Russia"", ""United States"", ""European Union member states""]","[""Eastern Europe"", ""Crimea"", ""Donbas region of Ukraine""]",territorial_dispute,"[[""Europe"", ""Eastern Europe"", ""UA""], [""Europe"", ""Eastern Europe"", ""RU""], [""North America"", ""Northern America"", ""US""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMATIC RELATIONS""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CONFLICT MANAGEMENT""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""AUTHORITARIANISM""]]",2025-09-27T14:39:05.331428
40,2015,2015-07-08,S/2015/508,7481,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2015/508,https://undocs.org/en/S/PV.7481,1,Bosnia and Herzegovina,The situation in Bosnia and Herzegovina,The situation in Bosnia and Herzegovina,,0,1,0,0,0,2025-09-24,1,"The resolution S/2015/508 addressed the ongoing political and ethnic tensions in Bosnia and Herzegovina, particularly focusing on the challenges to the country's governance structure established by the Dayton Agreement. It highlighted concerns regarding the rise of nationalist rhetoric, the stagnation in political reforms, and the potential for renewed instability in a region still grappling with the legacies of the 1990s conflict.","In 2015, Bosnia and Herzegovina was experiencing significant political turmoil, with deep divisions among its three main ethnic groups: Bosniaks, Serbs, and Croats. The country faced challenges in implementing necessary reforms to align with European Union standards, amidst a backdrop of rising nationalism and political deadlock, which raised fears of a resurgence of ethnic tensions reminiscent of the Bosnian War.","[""Bosnia and Herzegovina"", ""Serbia"", ""Croatia""]","[""Balkans"", ""Southeast Europe""]",political_tension,"[[""Europe"", ""Southern Europe"", ""BA""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""NATIONALISM""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""BOSNIA AND HERZEGOVINA SITUATION""]]",2025-09-27T14:39:13.919607
41,2014,2014-05-22,S/2014/348,7180,http://www.un.org/ga/search/view_doc.asp?symbol=S/2014/348,https://undocs.org/en/S/PV.7180,2,Middle East (Syria),The situation in the Middle East,The situation in the Middle East,,1,1,0,0,0,2025-09-24,2,"The resolution S/2014/348 addressed the escalating humanitarian crisis in Syria amidst the ongoing civil war, which had intensified since its onset in 2011. It highlighted the urgent need for international action to alleviate the suffering of millions of displaced Syrians and called attention to the violations of human rights and international humanitarian law occurring in the conflict.","In 2014, the Syrian civil war was marked by a complex interplay of domestic and international factors, including the rise of extremist groups like ISIS, the involvement of regional powers such as Iran and Saudi Arabia, and the geopolitical interests of global powers including the United States and Russia. The conflict had already resulted in a massive refugee crisis, with millions fleeing to neighboring countries and Europe, exacerbating tensions in the region.","[""Syria"", ""Russia"", ""United States"", ""Iran"", ""Saudi Arabia""]","[""Middle East"", ""Europe""]",civil_war,"[[""Asia"", ""Western Asia"", ""SY""], [""Asia"", ""Western Asia"", ""IR""], [""North America"", ""Northern America"", ""US""], [""Asia"", ""Western Asia"", ""SA""], [""Europe"", ""Eastern Europe"", ""RU""]]","[[""HUMANITARIAN AID AND RELIEF"", ""PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS"", ""DISPLACED PERSONS""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL LAW"", null], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""CIVIL WAR""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CONFLICT MANAGEMENT""], [""POLITICAL AND LEGAL QUESTIONS"", ""DISARMAMENT AND MILITARY QUESTIONS"", null], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""SYRIA SITUATION""]]",2025-09-27T14:39:34.196604
42,2014,2014-03-15,S/2014/189,7138,http://www.un.org/ga/search/view_doc.asp?symbol=S/2014/189 ,https://undocs.org/en/S/PV.7138,1,2014 Letter from Ukraine (Ukraine),Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136),Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136),,0,1,0,0,0,2025-09-24,1,"The draft resolution S/2014/189 addressed the escalating crisis in Ukraine following the ousting of President Viktor Yanukovych amid widespread protests against his government. The resolution sought to affirm Ukraine's sovereignty and territorial integrity in the face of Russian military intervention in Crimea, highlighting the urgent need for international attention to the deteriorating security situation in the region.","In early 2014, Ukraine was engulfed in political turmoil as protests, known as the Euromaidan movement, erupted against Yanukovych's decision to suspend an association agreement with the European Union. This unrest culminated in his removal from power, prompting Russia to annex Crimea in March 2014, leading to heightened tensions between Russia and Western nations, particularly the United States and European Union.","[""Ukraine"", ""Russia"", ""United States"", ""European Union member states""]","[""Eastern Europe"", ""Crimea""]",territorial_dispute,"[[""Europe"", ""Eastern Europe"", ""UA""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMATIC RELATIONS""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""AUTHORITARIANISM""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CONFLICT MANAGEMENT""]]",2025-09-27T14:39:48.920537
43,2012,2012-07-19,S/2012/538,6810,http://www.un.org/ga/search/view_doc.asp?symbol=S/2012/538,https://undocs.org/en/S/PV.6810,2,Middle East (Syria),The situation in the Middle East,The situation in the Middle East,,1,1,0,0,0,2025-09-24,2,"The resolution S/2012/538 addressed the escalating violence and humanitarian crisis in Syria amid the ongoing civil war that erupted in 2011. It highlighted the urgent need for a political solution to the conflict, condemning the violence perpetrated by both the Syrian government and opposition forces, and called for the protection of civilians and respect for human rights amidst the deteriorating situation.","In 2012, the Syrian civil war was intensifying, with widespread protests against President Bashar al-Assad's regime evolving into a brutal conflict marked by severe human rights violations and a growing humanitarian disaster. The geopolitical landscape was further complicated by the involvement of various international actors, including Russia and China, who supported the Assad regime, while Western nations and regional powers backed opposition groups, leading to significant tensions within the UN Security Council.","[""Syria"", ""Russia"", ""China"", ""United States"", ""Turkey"", ""Saudi Arabia""]","[""Middle East"", ""North Africa""]",civil_war,"[[""Asia"", ""Western Asia"", ""SY""]]","[[""HUMANITARIAN AID AND RELIEF"", ""PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS"", ""DISPLACED PERSONS""], [""HUMANITARIAN AID AND RELIEF"", ""SPECIAL HUMANITARIAN OPERATIONS"", ""HUMANITARIAN ASSISTANCE""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""CIVIL WAR""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CEASEFIRES""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""SYRIA SITUATION""]]",2025-09-27T14:40:07.399144
44,2012,2012-02-04,S/2012/77,6711,http://www.un.org/ga/search/view_doc.asp?symbol=S/2012/77,https://undocs.org/en/S/PV.6711,2,Middle East (Syria),The situation in the Middle East,The situation in the Middle East,,1,1,0,0,0,2025-09-24,2,"The resolution S/2012/77 addressed the escalating violence and humanitarian crisis in Syria amidst the ongoing civil unrest that began in 2011. It highlighted the urgent need for a political solution to the conflict, condemning the use of violence against civilians and calling for an end to hostilities, while emphasizing the importance of a peaceful transition of power in Syria.","In 2012, the Syrian civil war was intensifying, marked by widespread protests against President Bashar al-Assad's regime that had turned into an armed conflict. The situation was exacerbated by regional dynamics, including the involvement of various international actors and the rise of extremist groups, leading to significant geopolitical tensions, particularly between Western nations and Russia, which supported the Assad government.","[""Syria"", ""Russia"", ""United States"", ""Turkey"", ""Iran""]","[""Middle East"", ""North Africa""]",civil_war,"[[""Asia"", ""Western Asia"", ""SY""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""CIVIL WAR""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CEASEFIRES""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""SYRIA SITUATION""], [""HUMANITARIAN AID AND RELIEF"", ""PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS"", ""DISPLACED PERSONS""], [""HUMANITARIAN AID AND RELIEF"", ""SPECIAL HUMANITARIAN OPERATIONS"", ""HUMANITARIAN ASSISTANCE""]]",2025-09-27T14:40:26.185313
45,2011,2011-10-04,S/2011/612,6627,http://www.un.org/ga/search/view_doc.asp?symbol=S/2011/612,https://undocs.org/en/S/PV.6627,2,Middle East (Syria),The situation in the Middle East,The situation in the Middle East,,1,1,0,0,0,2025-09-24,2,"The resolution S/2011/612 addressed the escalating violence and humanitarian crisis in Syria amid the broader context of the Arab Spring. It called for an end to the violent repression of peaceful protests by the Syrian government, highlighting the urgent need for political reform and respect for human rights in the face of increasing civilian casualties and widespread unrest.","In 2011, the Arab Spring was sweeping across the Middle East and North Africa, leading to widespread protests against authoritarian regimes. In Syria, peaceful demonstrations began in March 2011, demanding democratic reforms and an end to President Bashar al-Assad's rule, which were met with violent crackdowns, igniting a protracted civil conflict that would have devastating consequences for the country and the region.","[""Syria"", ""Russia"", ""China"", ""United States"", ""France"", ""United Kingdom""]","[""Middle East"", ""North Africa""]",civil_war,"[[""Asia"", ""Western Asia"", ""SY""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""AUTHORITARIANISM""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""SYRIA SITUATION""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""AFRO-ARAB COOPERATION""], [""HUMANITARIAN AID AND RELIEF"", ""PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS"", ""DISPLACED PERSONS""]]",2025-09-27T14:40:42.394869
46,2011,2011-02-18,S/2011/24,6484,http://www.un.org/ga/search/view_doc.asp?symbol=S/2011/24,https://undocs.org/en/S/PV.6484,1,"Middle East, including Palestinian question","The situation in the Middle East, including the Palestinian question","The situation in the Middle East, including the Palestinian question",,0,0,0,1,0,2025-09-24,1,"The resolution S/2011/24 addressed the ongoing and complex situation in the Middle East, particularly focusing on the Israeli-Palestinian conflict. It highlighted the urgent need for a renewed commitment to peace negotiations, the cessation of violence, and the recognition of Palestinian statehood amidst escalating tensions and violence in the region.","In 2011, the Arab Spring was reshaping the political landscape across the Middle East, leading to widespread protests and calls for reform. The Israeli-Palestinian conflict was marked by heightened tensions, particularly following the 2008-2009 Gaza War, and the Palestinian Authority's efforts to gain international recognition for statehood at the United Nations, which was met with significant opposition from Israel and its allies.","[""Israel"", ""Palestine"", ""United States"", ""Egypt"", ""Jordan""]","[""Middle East"", ""Gaza Strip"", ""West Bank""]",territorial_dispute,"[[""Asia"", ""Western Asia"", ""IL""], [""Asia"", ""Western Asia"", ""PS""], [""North America"", ""Northern America"", ""US""], [""Africa"", ""Northern Africa"", ""EG""], [""Asia"", ""Western Asia"", ""JO""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CEASEFIRES""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""DEMOCRACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""DISARMAMENT AND MILITARY QUESTIONS"", ""ARMED CONFLICTS""]]",2025-09-27T14:40:58.859184
47,2009,2009-06-15,S/2009/310,6143,http://www.un.org/ga/search/view_doc.asp?symbol=S/2009/310,https://undocs.org/en/S/PV.6143,1,Georgia,The situation in Georgia,The situation in Georgia,,0,1,0,0,0,2025-09-24,1,"The 2009 UN Security Council resolution S/2009/310 addressed the ongoing tensions and conflict between Georgia and the Russian Federation, particularly in the context of the August 2008 war over South Ossetia and Abkhazia. The resolution sought to reaffirm the territorial integrity of Georgia while expressing concern over the presence of Russian military forces in these regions and the implications for regional stability.","In 2009, the aftermath of the 2008 Russo-Georgian War was still fresh, with significant geopolitical tensions between NATO, the European Union, and Russia. The conflict had resulted in Russia recognizing the independence of South Ossetia and Abkhazia, leading to heightened fears among former Soviet states regarding Russian expansionism and the security dynamics in the Caucasus region.","[""Georgia"", ""Russia""]","[""South Ossetia"", ""Abkhazia"", ""Caucasus""]",territorial_dispute,"[[""Europe"", ""Eastern Europe"", ""GE""], [""Europe"", ""Eastern Europe"", ""RU""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""BALANCE OF POWER""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CONFLICT MANAGEMENT""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""AUTHORITARIANISM""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""GEORGIA SITUATION""]]",2025-09-27T14:41:16.451526
48,2008,2008-07-11,S/2008/447,5933,http://www.un.org/ga/search/view_doc.asp?symbol=S/2008/447,https://undocs.org/en/S/PV.5933 ,2,Peace and security in Africa (Zimbabwe),Peace and security in Africa,Peace and security in Africa,,1,1,0,0,0,2025-09-24,2,"The 2008 UN Security Council resolution S/2008/447 focused on the escalating political and humanitarian crisis in Zimbabwe, where a violent crackdown on opposition members and widespread human rights abuses were reported amidst a contested presidential election. The resolution sought to address the deteriorating peace and security situation in the country, highlighting the urgent need for international attention and intervention to protect civilians and restore democratic processes.","In 2008, Zimbabwe was experiencing a severe economic collapse, hyperinflation, and political turmoil, particularly following the controversial presidential elections in March of that year, which led to violence and repression against opposition supporters. The situation was exacerbated by the long-standing rule of President Robert Mugabe, whose government faced increasing isolation and condemnation from the international community due to its authoritarian practices and failure to uphold democratic norms.","[""Zimbabwe"", ""South Africa"", ""United Kingdom"", ""United States""]","[""Southern Africa""]",political_crisis,"[[""Africa"", ""Southern Africa"", ""ZW""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""AUTHORITARIANISM""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""PROTECTION OF CIVILIANS IN PEACEKEEPING OPERATIONS""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""ZIMBABWE SITUATION""], [""SOCIAL CONDITIONS AND EQUITY"", ""HUMAN RIGHTS"", ""ABUSE OF POWER""]]",2025-09-27T14:41:32.195152
49,2007,2007-01-12,S/2007/14 as orally revised,5619,http://www.un.org/ga/search/view_doc.asp?symbol=S/2007/14,https://undocs.org/en/S/PV.5619,2,Myanmar,The situation in Myanmar,The situation in Myanmar,,1,1,0,0,0,2025-09-24,2,"The 2007 UN Security Council resolution addressed the deteriorating human rights situation in Myanmar, particularly in light of the military junta's oppressive regime and its violent crackdown on pro-democracy protests. The resolution underscored the urgent need for the international community to respond to the widespread violations of human rights and the lack of political freedoms faced by the Burmese people during a period of significant civil unrest.","In 2007, Myanmar was experiencing a wave of protests known as the Saffron Revolution, led by Buddhist monks and civilians demanding democratic reforms and an end to military rule. This period was marked by severe repression from the military government, which intensified international scrutiny and condemnation, particularly from Western nations, amidst broader concerns about regional stability and human rights.","[""Myanmar"", ""China"", ""India"", ""United States"", ""United Kingdom""]","[""Southeast Asia"", ""Asia-Pacific""]",human_rights_violation,"[[""Asia"", ""South-eastern Asia"", ""MM""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""AUTHORITARIANISM""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""BURMA SITUATION""], [""SOCIAL CONDITIONS AND EQUITY"", ""HUMAN RIGHTS"", ""ABUSE OF POWER""], [""SOCIAL CONDITIONS AND EQUITY"", ""DISCRIMINATION"", null]]",2025-09-27T14:41:51.532602
50,2006,2006-11-11,S/2006/878,5565,http://www.un.org/ga/search/view_doc.asp?symbol=S/2006/878,https://undocs.org/en/S/PV.5565,1,"Middle East, including Palestinian question","The situation in the Middle East, including the Palestinian question","The situation in the Middle East, including the Palestinian question",,0,0,0,1,0,2025-09-24,1,"The resolution S/2006/878 addressed the ongoing and escalating violence in the Middle East, particularly focusing on the Israeli-Palestinian conflict. It highlighted the humanitarian crisis resulting from military actions, the need for a ceasefire, and the urgent requirement for a renewed commitment to peace negotiations amidst rising tensions and hostilities in the region.","In 2006, the Middle East was experiencing significant turmoil, particularly following the Hamas victory in the Palestinian elections and subsequent conflict with Israel. The situation was exacerbated by the Lebanon War, which involved Israel and Hezbollah, leading to widespread destruction and displacement, thereby intensifying the urgency for international intervention and dialogue regarding the Israeli-Palestinian issue.","[""Israel"", ""Palestine"", ""Lebanon"", ""Iran"", ""Syria""]","[""Middle East"", ""Gaza Strip"", ""West Bank""]",territorial_dispute,"[[""Asia"", ""Western Asia"", ""IL""], [""Asia"", ""Western Asia"", ""PS""], [""Asia"", ""Western Asia"", ""LB""], [""Asia"", ""Western Asia"", ""IR""], [""Asia"", ""Western Asia"", ""SY""]]","[[""HUMANITARIAN AID AND RELIEF"", ""PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS"", ""PALESTINE REFUGEES""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CEASEFIRES""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""CIVIL WAR""]]",2025-09-27T14:42:10.609259
51,2006,2006-07-13,S/2006/508,5488,http://www.un.org/ga/search/view_doc.asp?symbol=S/2006/508,https://undocs.org/en/S/PV.5488,1,"Middle East, including Palestinian question","The situation in the Middle East, including the Palestinian question","The situation in the Middle East, including the Palestinian question",,0,0,0,1,0,2025-09-24,1,"The resolution S/2006/508 addressed the ongoing and escalating conflict in the Middle East, particularly focusing on the Palestinian question amidst the backdrop of heightened violence following the Hamas takeover of the Gaza Strip in June 2007. It highlighted the urgent need for a ceasefire and the protection of civilians, as well as the humanitarian crisis resulting from military operations and blockades affecting the Palestinian territories.","In 2006, the Middle East was marked by significant turmoil, including the aftermath of the 2006 Lebanon War, which intensified regional tensions. The rise of Hamas, following its electoral victory in January 2006, led to a violent power struggle with Fatah, further complicating the Israeli-Palestinian conflict and raising concerns about the stability of the region.","[""Israel"", ""Palestine"", ""Lebanon"", ""Iran"", ""Syria""]","[""Middle East"", ""Gaza Strip"", ""West Bank""]",territorial_dispute,"[[""Asia"", ""Western Asia"", ""IL""], [""Asia"", ""Western Asia"", ""PS""], [""Asia"", ""Western Asia"", ""LB""], [""Asia"", ""Western Asia"", ""IR""], [""Asia"", ""Western Asia"", ""SY""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""CIVIL WAR""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CEASEFIRES""], [""POLITICAL AND LEGAL QUESTIONS"", ""DISARMAMENT AND MILITARY QUESTIONS"", ""ARMED CONFLICTS""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""MIDDLE EAST SITUATION""], [""HUMANITARIAN AID AND RELIEF"", ""PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS"", ""PALESTINE REFUGEES""], [""HUMANITARIAN AID AND RELIEF"", ""SPECIAL HUMANITARIAN OPERATIONS"", ""HUMANITARIAN ASSISTANCE""]]",2025-09-27T14:42:39.345568
52,2004,2004-10-05,S/2004/783,5051,http://www.un.org/ga/search/view_doc.asp?symbol=S/2004/783,https://undocs.org/en/S/PV.5051,1,"Middle East, including Palestinian question","The situation in the Middle East, including the Palestinian question","The situation in the Middle East, including the Palestinian question",,0,0,0,1,0,2025-09-24,1,"The 2004 UN Security Council resolution S/2004/783 addressed the ongoing and escalating conflict in the Middle East, particularly focusing on the Israeli-Palestinian situation. It highlighted the urgent need for a peaceful resolution to the Israeli occupation of Palestinian territories, the humanitarian crisis faced by Palestinians, and the broader implications for regional stability amidst rising violence and tensions in the area.","In 2004, the Israeli-Palestinian conflict was marked by significant violence, including the Second Intifada, which had begun in 2000 and led to widespread unrest and casualties on both sides. The geopolitical landscape was further complicated by the U.S.-led invasion of Iraq in 2003, which heightened tensions in the Middle East and influenced perceptions of U.S. foreign policy in relation to Israel and Palestine.","[""Israel"", ""Palestine"", ""United States"", ""Arab States""]","[""Middle East"", ""Gaza Strip"", ""West Bank""]",territorial_dispute,"[[""Asia"", ""Western Asia"", ""IL""], [""Asia"", ""Western Asia"", ""PS""], [""North America"", ""Northern America"", ""US""]]","[[""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS"", ""CIVIL WAR""], [""POLITICAL AND LEGAL QUESTIONS"", ""INTERNATIONAL RELATIONS"", ""DIPLOMACY""], [""POLITICAL AND LEGAL QUESTIONS"", ""MAINTENANCE OF PEACE AND SECURITY"", ""CEASEFIRES""], [""POLITICAL AND LEGAL QUESTIONS"", ""POLITICAL EVENTS AND ISSUES"", ""ISRAEL-ARAB WAR (1967)""], [""HUMANITARIAN AID AND RELIEF"", ""PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS"", ""PALESTINE REFUGEES""]]",2025-09-27T14:43:03.492618
