Year,TopicTag,total_yes,total_votes,yes_vote_percentage
1958,LAW OF THE SEA,71,77,92.20779220779221
1958,DISCRIMINATION,139,158,87.9746835443038
1958,HUMAN RIGHTS,139,158,87.9746835443038
1958,BANKING AND INVESTMENT,69,81,85.18518518518519
1958,TRADE RELATED FINANCE,69,81,85.18518518518519
1958,DEVELOPMENT FINANCE,136,162,83.9506172839506
1958,POLITICAL EVENTS AND ISSUES,123,158,77.84810126582279
1958,POLITICAL AND LEGAL QUESTIONS,343,476,72.05882352941177
1958,SPACE SCIENCES,53,81,65.4320987654321
1958,INTERNATIONAL RELATIONS,201,316,63.60759493670886
1958,MAINTENANCE OF PEACE AND SECURITY,196,315,62.22222222222222
1958,DISARMAMENT AND MILITARY QUESTIONS,49,80,61.25000000000001
1959,DEVELOPMENT,81,82,98.78048780487805
1959,SOCIAL DEVELOPMENT,81,82,98.78048780487805
1959,DISCRIMINATION,128,150,85.33333333333334
1959,HUMAN RIGHTS,128,150,85.33333333333334
1959,DEVELOPMENT FINANCE,67,82,81.70731707317073
1959,NUCLEAR SCIENCE,60,81,74.07407407407408
1959,DISARMAMENT AND MILITARY QUESTIONS,179,243,73.66255144032921
1959,TELECOMMUNICATIONS,54,74,72.97297297297297
1959,MAINTENANCE OF PEACE AND SECURITY,231,320,72.1875
1959,INTERNATIONAL LAW,57,79,72.15189873417721
1959,POLITICAL AND LEGAL QUESTIONS,696,1027,67.77020447906524
1959,POLITICAL EVENTS AND ISSUES,208,315,66.03174603174602
1959,INTERNATIONAL RELATIONS,251,398,63.06532663316583
1960,DISCRIMINATION,88,89,98.87640449438202
1960,HUMAN RIGHTS,177,187,94.6524064171123
1960,NUCLEAR SCIENCE,171,187,91.44385026737967
1960,SOCIAL DEVELOPMENT,89,98,90.81632653061224
1960,DISARMAMENT AND MILITARY QUESTIONS,239,281,85.05338078291815
1960,MAINTENANCE OF PEACE AND SECURITY,348,456,76.31578947368422
1960,INTERNATIONAL RELATIONS,203,270,75.18518518518519
1960,INTERNATIONAL LAW,69,92,75.0
1960,POLITICAL AND LEGAL QUESTIONS,946,1298,72.88135593220339
1960,POLITICAL EVENTS AND ISSUES,92,191,48.167539267015705
1961,DISCRIMINATION,254,289,87.88927335640139
1961,HUMAN RIGHTS,254,289,87.88927335640139
1961,INTERNATIONAL LAW,158,196,80.61224489795919
1961,NUCLEAR SCIENCE,158,198,79.7979797979798
1961,POLITICAL AND LEGAL QUESTIONS,1967,2750,71.52727272727273
1961,POLITICAL EVENTS AND ISSUES,546,768,71.09375
1961,DEVELOPMENT FINANCE,67,95,70.52631578947368
1961,DISARMAMENT AND MILITARY QUESTIONS,339,495,68.48484848484848
1961,PUBLIC FINANCE,125,190,65.78947368421053
1961,MAINTENANCE OF PEACE AND SECURITY,625,970,64.43298969072166
1961,MONETARY ISSUES,58,95,61.05263157894737
1961,DEVELOPMENT,57,97,58.76288659793815
1961,ECONOMIC CONDITIONS,57,97,58.76288659793815
1961,POPULATION DYNAMICS,57,97,58.76288659793815
1961,INTERNATIONAL RELATIONS,620,1065,58.21596244131455
1961,No Tag,52,95,54.736842105263165
1961,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,99,191,51.832460732984295
1962,ENVIRONMENTAL HEALTH,86,97,88.65979381443299
1962,INTERNATIONAL RELATIONS,89,103,86.40776699029125
1962,RESOURCES (GENERAL),87,101,86.13861386138613
1962,POLITICAL AND LEGAL QUESTIONS,932,1217,76.58175842235005
1962,GENERAL AND NATIONAL LAW,76,101,75.24752475247524
1962,POLITICAL EVENTS AND ISSUES,206,297,69.36026936026936
1962,NUCLEAR SCIENCE,137,198,69.1919191919192
1962,DISCRIMINATION,67,106,63.20754716981132
1962,HUMAN RIGHTS,125,212,58.9622641509434
1962,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,58,106,54.71698113207547
1962,SOCIAL DEVELOPMENT,58,106,54.71698113207547
1962,DISARMAMENT AND MILITARY QUESTIONS,51,101,50.495049504950494
1962,MAINTENANCE OF PEACE AND SECURITY,51,101,50.495049504950494
1963,DISCRIMINATION,205,208,98.5576923076923
1963,HUMAN RIGHTS,205,208,98.5576923076923
1963,No Tag,96,107,89.7196261682243
1963,POLITICAL AND LEGAL QUESTIONS,1544,1862,82.92158968850698
1963,INTERNATIONAL RELATIONS,482,646,74.61300309597523
1963,PUBLIC FINANCE,235,322,72.98136645962732
1963,DEVELOPMENT FINANCE,156,214,72.89719626168224
1963,DISARMAMENT AND MILITARY QUESTIONS,155,213,72.76995305164318
1963,MAINTENANCE OF PEACE AND SECURITY,367,528,69.50757575757575
1963,POLITICAL EVENTS AND ISSUES,65,107,60.747663551401864
1963,INTERNATIONAL LAW,129,214,60.280373831775705
1965,INTERNATIONAL LAW,109,110,99.0909090909091
1965,DISARMAMENT AND MILITARY QUESTIONS,504,533,94.55909943714822
1965,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,91,99,91.91919191919192
1965,DISCRIMINATION,186,205,90.73170731707317
1965,NUCLEAR SCIENCE,92,107,85.98130841121495
1965,HUMAN RIGHTS,260,312,83.33333333333334
1965,INTERNATIONAL RELATIONS,567,752,75.39893617021278
1965,POLITICAL AND LEGAL QUESTIONS,1704,2349,72.54150702426566
1965,SOCIAL DEVELOPMENT,74,107,69.1588785046729
1965,POLITICAL EVENTS AND ISSUES,285,425,67.05882352941175
1965,MAINTENANCE OF PEACE AND SECURITY,356,537,66.29422718808193
1966,DISCRIMINATION,183,200,91.5
1966,INTERNATIONAL LAW,465,510,91.17647058823529
1966,HUMAN RIGHTS,541,618,87.54045307443366
1966,SOCIAL DEVELOPMENT,254,314,80.89171974522293
1966,No Tag,93,117,79.48717948717949
1966,POLITICAL EVENTS AND ISSUES,276,352,78.4090909090909
1966,POLITICAL AND LEGAL QUESTIONS,1956,2505,78.08383233532933
1966,INTERNATIONAL RELATIONS,417,549,75.95628415300546
1966,MAINTENANCE OF PEACE AND SECURITY,286,528,54.166666666666664
1966,DISARMAMENT AND MILITARY QUESTIONS,48,108,44.44444444444444
1967,No Tag,116,118,98.30508474576271
1967,INTERNATIONAL LAW,185,203,91.13300492610837
1967,DISCRIMINATION,91,110,82.72727272727273
1967,DISARMAMENT AND MILITARY QUESTIONS,367,450,81.55555555555556
1967,SOCIAL DEVELOPMENT,81,100,81.0
1967,DEVELOPMENT FINANCE,75,95,78.94736842105263
1967,HUMAN RIGHTS,246,323,76.16099071207431
1967,POLITICAL AND LEGAL QUESTIONS,1711,2277,75.1427316644708
1967,MAINTENANCE OF PEACE AND SECURITY,515,692,74.42196531791907
1967,POLITICAL EVENTS AND ISSUES,432,587,73.59454855195912
1967,INTERNATIONAL RELATIONS,710,1032,68.7984496124031
1967,DEVELOPMENT,74,111,66.66666666666666
1967,INDUSTRIAL DEVELOPMENT SUPPORT SERVICES,74,111,66.66666666666666
1968,NON-FORMAL EDUCATION,114,117,97.43589743589743
1968,SOCIAL DEVELOPMENT,195,230,84.78260869565217
1968,DISARMAMENT AND MILITARY QUESTIONS,475,573,82.89703315881326
1968,LAW OF THE SEA,195,236,82.62711864406779
1968,MARINE RESOURCES,195,236,82.62711864406779
1968,MINERAL RESOURCES,195,236,82.62711864406779
1968,DISCRIMINATION,86,107,80.37383177570094
1968,No Tag,88,112,78.57142857142857
1968,POLITICAL AND LEGAL QUESTIONS,1438,1944,73.97119341563786
1968,INTERNATIONAL RELATIONS,932,1287,72.41647241647242
1968,HUMAN RIGHTS,226,338,66.86390532544378
1968,INTERNATIONAL LAW,142,219,64.84018264840182
1968,LAW OF WAR,58,101,57.42574257425742
1968,MAINTENANCE OF PEACE AND SECURITY,129,232,55.603448275862064
1968,POLITICAL EVENTS AND ISSUES,132,242,54.54545454545454
1969,SOCIAL DEVELOPMENT,165,194,85.05154639175258
1969,RECOMMENDATIONS,190,224,84.82142857142857
1969,DISCRIMINATION,80,100,80.0
1969,POLITICAL AND LEGAL QUESTIONS,1802,2318,77.73943054357204
1969,PUBLIC FINANCE,90,119,75.63025210084034
1969,DEVELOPMENT,76,101,75.24752475247524
1969,INDUSTRIAL DEVELOPMENT SUPPORT SERVICES,76,101,75.24752475247524
1969,MAINTENANCE OF PEACE AND SECURITY,173,232,74.56896551724138
1969,DISARMAMENT AND MILITARY QUESTIONS,422,583,72.38421955403086
1969,HUMAN RIGHTS,453,629,72.01907790143083
1969,INTERNATIONAL RELATIONS,646,928,69.61206896551724
1969,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,154,226,68.14159292035397
1969,No Tag,220,333,66.06606606606607
1969,POLITICAL EVENTS AND ISSUES,144,237,60.75949367088608
1969,INTERNATIONAL LAW,61,117,52.13675213675214
1969,LAW OF THE SEA,61,117,52.13675213675214
1969,MARINE RESOURCES,61,117,52.13675213675214
1969,MINERAL RESOURCES,61,117,52.13675213675214
1969,WOMEN'S ADVANCEMENT,48,109,44.03669724770643
1970,ENVIRONMENT,104,108,96.29629629629629
1970,NON-FORMAL EDUCATION,202,215,93.95348837209302
1970,MARINE RESOURCES,211,228,92.54385964912281
1970,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,105,115,91.30434782608695
1970,LAW OF THE SEA,195,216,90.27777777777779
1970,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,206,229,89.95633187772926
1970,WATER,107,120,89.16666666666667
1970,DISARMAMENT AND MILITARY QUESTIONS,497,569,87.34622144112478
1970,INTERNATIONAL LAW,364,417,87.29016786570743
1970,SOCIAL DEVELOPMENT,286,340,84.11764705882354
1970,POLITICAL AND LEGAL QUESTIONS,2241,2998,74.7498332221481
1970,HUMAN RIGHTS,815,1104,73.82246376811594
1970,LAW OF WAR,247,338,73.07692307692307
1970,DISCRIMINATION,556,761,73.06176084099869
1970,MAINTENANCE OF PEACE AND SECURITY,309,459,67.3202614379085
1970,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,138,232,59.48275862068966
1970,INTERNATIONAL RELATIONS,190,352,53.97727272727273
1970,POLITICAL EVENTS AND ISSUES,166,330,50.303030303030305
1971,MARINE RESOURCES,122,122,100.0
1971,SPECIAL GROUPS,91,91,100.0
1971,STATISTICS,121,121,100.0
1971,WATER,122,122,100.0
1971,DISEASE PREVENTION AND CONTROL,109,110,99.0909090909091
1971,DISEASES AND CARRIERS OF DISEASES,109,110,99.0909090909091
1971,NON-FORMAL EDUCATION,211,213,99.06103286384976
1971,LAW OF THE SEA,215,219,98.17351598173516
1971,SPACE SCIENCES,93,97,95.87628865979381
1971,OPERATIONAL ACTIVITIES,99,107,92.5233644859813
1971,RECOMMENDATIONS,99,107,92.5233644859813
1971,CULTURAL DEVELOPMENT,111,120,92.5
1971,CONDITIONS OF EMPLOYMENT,107,117,91.45299145299145
1971,WELFARE AND SOCIAL SERVICES,107,117,91.45299145299145
1971,PUBLIC FINANCE,556,609,91.29720853858785
1971,BANKING AND INVESTMENT,110,122,90.1639344262295
1971,SOCIAL DEVELOPMENT,600,669,89.68609865470853
1971,HUMANITARIAN AID AND RELIEF,86,96,89.58333333333334
1971,DEVELOPMENT FINANCE,109,122,89.34426229508196
1971,DISARMAMENT AND MILITARY QUESTIONS,871,995,87.53768844221106
1971,No Tag,410,474,86.49789029535864
1971,POLITICAL AND LEGAL QUESTIONS,4349,5150,84.44660194174757
1971,INTERNATIONAL LAW,261,320,81.5625
1971,ENVIRONMENT,273,335,81.49253731343283
1971,DEVELOPMENT,183,227,80.61674008810573
1971,DISCRIMINATION,824,1029,80.07774538386784
1971,HUMAN RIGHTS,1181,1486,79.4751009421265
1971,CULTURE,180,232,77.58620689655173
1971,INTERNATIONAL RELATIONS,968,1280,75.625
1971,MAINTENANCE OF PEACE AND SECURITY,676,920,73.47826086956522
1971,POLITICAL EVENTS AND ISSUES,415,581,71.42857142857143
1971,NUCLEAR SCIENCE,143,221,64.70588235294117
1971,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,217,353,61.47308781869688
1972,HISTORICAL PERIODS,127,127,100.0
1972,WOMEN'S ADVANCEMENT,118,118,100.0
1972,STATISTICS,126,127,99.21259842519686
1972,NON-FORMAL EDUCATION,126,128,98.4375
1972,No Tag,125,127,98.4251968503937
1972,TRANSNATIONAL CORPORATIONS,120,125,96.0
1972,WELFARE AND SOCIAL SERVICES,234,244,95.90163934426229
1972,DEVELOPMENT,702,740,94.86486486486486
1972,SPECIAL CATEGORIES OF WORKERS,229,242,94.62809917355372
1972,HUMANITARIAN AID AND RELIEF,111,118,94.0677966101695
1972,COMMUNICATION AND MASS MEDIA,114,122,93.44262295081968
1972,DISEASES AND CARRIERS OF DISEASES,223,240,92.91666666666667
1972,DISEASE PREVENTION AND CONTROL,335,361,92.797783933518
1972,NARCOTIC DRUGS,335,361,92.797783933518
1972,SPACE SCIENCES,102,110,92.72727272727272
1972,TELECOMMUNICATIONS,102,110,92.72727272727272
1972,EMPLOYMENT PROMOTION AND PLANNING,111,121,91.73553719008265
1972,ENVIRONMENT,111,121,91.73553719008265
1972,POLLUTION,111,121,91.73553719008265
1972,ECONOMIC CONDITIONS,337,368,91.57608695652173
1972,LAW OF WAR,229,253,90.51383399209486
1972,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,559,620,90.16129032258064
1972,EDUCATIONAL PERSONNEL AND POPULATION,111,124,89.51612903225806
1972,SKILLS DEVELOPMENT,111,124,89.51612903225806
1972,PUBLIC FINANCE,1451,1636,88.6919315403423
1972,DEVELOPMENT FINANCE,435,498,87.34939759036145
1972,MONETARY ISSUES,215,248,86.69354838709677
1972,INTERNATIONAL LAW,1064,1229,86.57445077298617
1972,SOCIAL DEVELOPMENT,962,1115,86.27802690582959
1972,POLITICAL AND LEGAL QUESTIONS,3319,3917,84.73321419453663
1972,DISARMAMENT AND MILITARY QUESTIONS,1077,1272,84.66981132075472
1972,GENERAL AND NATIONAL LAW,736,875,84.11428571428571
1972,POPULATION DYNAMICS,105,125,84.0
1972,PHILOSOPHY AND RELIGION,101,122,82.78688524590164
1972,BANKING AND INVESTMENT,206,249,82.73092369477911
1972,DISCRIMINATION,611,741,82.45614035087719
1972,RESOURCES (GENERAL),102,124,82.25806451612904
1972,INTERNATIONAL TRADE LAW,208,256,81.25
1972,MAINTENANCE OF PEACE AND SECURITY,1068,1336,79.94011976047905
1972,INTERNATIONAL RELATIONS,891,1128,78.98936170212765
1972,POLITICAL EVENTS AND ISSUES,485,619,78.35218093699515
1972,HUMAN RIGHTS,959,1231,77.90414297319252
1972,LAW OF THE SEA,294,378,77.77777777777779
1972,TRADE IN MANUFACTURES; BARRIERS TO TRADE,95,123,77.23577235772358
1972,NUCLEAR SCIENCE,169,229,73.7991266375546
1972,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,252,371,67.9245283018868
1972,MARINE RESOURCES,167,251,66.53386454183267
1972,WATER,167,251,66.53386454183267
1973,NON-FORMAL EDUCATION,124,126,98.4126984126984
1973,CULTURAL DEVELOPMENT,122,126,96.82539682539682
1973,PUBLIC ADMINISTRATION,115,124,92.74193548387096
1973,SCIENCE AND TECHNOLOGY,116,126,92.06349206349206
1973,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,227,253,89.72332015810277
1973,SOCIAL DEVELOPMENT,779,874,89.13043478260869
1973,DISCRIMINATION,967,1100,87.90909090909092
1973,ECONOMIC CONDITIONS,215,245,87.75510204081633
1973,CULTURE,112,128,87.5
1973,PROTECTION OF INTELLECTUAL AND CULTURAL PROPERTY,112,128,87.5
1973,POLITICAL AND LEGAL QUESTIONS,3905,4472,87.32110912343471
1973,HUMAN RIGHTS,1177,1353,86.99186991869918
1973,POLITICAL EVENTS AND ISSUES,851,987,86.22087132725432
1973,PUBLIC FINANCE,524,608,86.18421052631578
1973,No Tag,425,498,85.34136546184739
1973,DEVELOPMENT FINANCE,518,608,85.19736842105263
1973,LAW OF WAR,197,232,84.91379310344827
1973,DEVELOPMENT,404,484,83.47107438016529
1973,ENVIRONMENTAL HEALTH,373,451,82.70509977827051
1973,POLLUTION,373,451,82.70509977827051
1973,INTERNATIONAL LAW,590,726,81.26721763085399
1973,DISARMAMENT AND MILITARY QUESTIONS,1032,1312,78.65853658536585
1973,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,194,248,78.2258064516129
1973,ENVIRONMENT,449,574,78.22299651567944
1973,INTERNATIONAL RELATIONS,576,742,77.62803234501348
1973,RESOURCES (GENERAL),376,487,77.20739219712526
1973,RECOMMENDATIONS,286,372,76.88172043010752
1973,STATISTICS,94,124,75.80645161290323
1973,TRADE IN COMMODITIES,94,124,75.80645161290323
1973,MAINTENANCE OF PEACE AND SECURITY,728,967,75.28438469493278
1973,NUCLEAR SCIENCE,352,469,75.05330490405117
1973,HOUSING,88,125,70.39999999999999
1973,FINANCING,170,246,69.10569105691057
1974,ENVIRONMENT,124,129,96.12403100775194
1974,ENVIRONMENTAL HEALTH,124,129,96.12403100775194
1974,POLLUTION,124,129,96.12403100775194
1974,HOUSING,120,132,90.9090909090909
1974,HUMAN SETTLEMENTS,120,132,90.9090909090909
1974,SETTLEMENT PLANNING,120,132,90.9090909090909
1974,SOCIAL DEVELOPMENT,226,251,90.0398406374502
1974,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,225,251,89.64143426294821
1974,NUCLEAR SCIENCE,65,74,87.83783783783784
1974,FINANCING,97,111,87.38738738738738
1974,RECOMMENDATIONS,97,111,87.38738738738738
1974,PUBLIC FINANCE,423,486,87.03703703703704
1974,GENERAL AND NATIONAL LAW,100,118,84.7457627118644
1974,DISARMAMENT AND MILITARY QUESTIONS,1484,1763,84.1747022121384
1974,DISCRIMINATION,529,630,83.96825396825398
1974,HUMAN RIGHTS,840,1004,83.66533864541833
1974,DEVELOPMENT,410,493,83.16430020283975
1974,POLITICAL EVENTS AND ISSUES,412,499,82.56513026052104
1974,POLITICAL AND LEGAL QUESTIONS,3055,3804,80.31019978969506
1974,INTERNATIONAL LAW,677,859,78.81257275902212
1974,MAINTENANCE OF PEACE AND SECURITY,1079,1375,78.47272727272727
1974,ECONOMIC CONDITIONS,194,248,78.2258064516129
1974,RESOURCES (GENERAL),98,131,74.80916030534351
1974,INTERNATIONAL RELATIONS,1180,1634,72.2154222766218
1974,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,85,123,69.10569105691057
1974,INTERNATIONAL TRADE,85,123,69.10569105691057
1974,CONDITIONS OF EMPLOYMENT,88,129,68.21705426356588
1975,WELFARE AND SOCIAL SERVICES,236,248,95.16129032258065
1975,SOCIAL DEVELOPMENT,565,605,93.38842975206612
1975,HUMANITARIAN AID AND RELIEF,115,124,92.74193548387096
1975,CONDITIONS OF EMPLOYMENT,117,128,91.40625
1975,INDUSTRIAL DEVELOPMENT SUPPORT SERVICES,115,126,91.26984126984127
1975,DEVELOPMENT,229,253,90.51383399209486
1975,DEVELOPMENT FINANCE,234,259,90.34749034749035
1975,PUBLIC ADMINISTRATION,229,254,90.15748031496062
1975,PUBLIC FINANCE,695,772,90.02590673575129
1975,ECONOMIC CONDITIONS,114,127,89.76377952755905
1975,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,215,246,87.39837398373984
1975,DISARMAMENT AND MILITARY QUESTIONS,1655,1905,86.8766404199475
1975,INTERNATIONAL LAW,428,509,84.08644400785855
1975,COMMUNICATION AND MASS MEDIA,108,130,83.07692307692308
1975,No Tag,108,130,83.07692307692308
1975,TELECOMMUNICATIONS,108,130,83.07692307692308
1975,HUMAN RIGHTS,1611,1965,81.98473282442748
1975,POLITICAL EVENTS AND ISSUES,923,1140,80.96491228070175
1975,DISCRIMINATION,1264,1588,79.59697732997482
1975,POLITICAL AND LEGAL QUESTIONS,3842,4904,78.3442088091354
1975,RESOURCES (GENERAL),100,131,76.33587786259542
1975,INTERNATIONAL RELATIONS,1465,1922,76.22268470343391
1975,SPECIAL GROUPS,96,126,76.19047619047619
1975,MAINTENANCE OF PEACE AND SECURITY,1450,1920,75.52083333333334
1975,WOMEN'S ADVANCEMENT,296,392,75.51020408163265
1975,NUCLEAR SCIENCE,94,129,72.86821705426357
1976,STATISTICS,129,129,100.0
1976,INTERNATIONAL TRADE LAW,120,124,96.7741935483871
1976,SPECIAL GROUPS,116,120,96.66666666666667
1976,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,125,132,94.6969696969697
1976,SCIENCE AND TECHNOLOGY,125,132,94.6969696969697
1976,CULTURE,127,138,92.02898550724638
1976,GENERAL AND NATIONAL LAW,349,380,91.84210526315789
1976,COMPUTER SCIENCE AND TECHNOLOGY,117,128,91.40625
1976,No Tag,351,387,90.69767441860465
1976,PUBLIC FINANCE,694,767,90.48239895697523
